filename,contract_type,split
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.txt,Agency Agreement,dev
ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT.txt,Services Agreement,dev
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT.txt,Joint Venture Agreement,dev
ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.txt,Distributor Agreement,dev
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,Endorsement Agreement,dev
ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.txt,Strategic Alliance Agreement,dev
"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT.txt",Reseller Agreement,dev
"ADMA BioManufacturing, LLC -  Amendment #3 to Manufacturing Agreement .txt",Other,dev
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1).txt",Other,dev
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT.txt",Consulting Agreement,dev
AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT.txt,Agency Agreement,dev
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement.txt,Distributor Agreement,holdout
AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FRANCHISE AGREEMENT.txt,Franchise Agreement,holdout
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Agency Agreement,dev
ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT.txt,Agency Agreement,dev
ALLIANCEBANCORPINCOFPENNSYLVANIA_10_18_2006-EX-1.2-AGENCY AGREEMENT.txt,Agency Agreement,dev
ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT.txt,Cooperation Agreement,dev
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,Endorsement Agreement,holdout
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT.txt,Agency Agreement,holdout
AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT.txt,Other,dev
ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT.txt,Collaboration Agreement,dev
"ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.txt",Intellectual Property Agreement,dev
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC..txt",Other,holdout
ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement.txt,Reseller Agreement,holdout
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT.txt,Outsourcing Agreement,dev
ATENTOSA_07_06_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Joint Filing Agreement,dev
"ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY AGREEMENT , 2009.txt",Other,dev
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT.txt,Other,holdout
AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT.txt,Servicing Agreement,holdout
AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT.txt,Strategic Alliance Agreement,dev
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement.txt,Supply Agreement,dev
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement.txt,Development Agreement,dev
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement.txt,Content License Agreement,holdout
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement.txt,Sponsorship Agreement,dev
"Antares Pharma, Inc. - Manufacturing Agreement.txt",Manufacturing Agreement,dev
Apollo Endosurgery - Manufacturing and Supply Agreement.txt,Manufacturing And Supply Agreement,dev
ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship Agreement.txt,Sponsorship Agreement,holdout
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement.txt,Development Agreement,dev
ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark License Agreement.txt,Trademark License Agreement,dev
